airport_code,aircraftmov_intl,aircraftmov_domestic,pax_intl,pax_domestic,freight_intl,freight_domestic,month,year
COK,2054,2183,313251,181685,3440,852,1,2014
BDQ,0,599,0,67458,0,200,1,2014
CCJ,1093,260,191559,25128,1706,9,1,2014
IXM,160,620,18679,48450,0,103,1,2014
AMD,699,3076,306521,413254,1244,3086,1,2014
TIR,0,248,0,24032,0,0,1,2014
ATQ,215,599,28700,63524,13,12,1,2014
GAU,38,2244,1519,190159,21,797,1,2014
RPR,0,762,0,69736,0,344,1,2014
JDH,0,260,0,29688,0,1,1,2014
PAT,0,686,0,72331,0,432,1,2014
IXB,34,674,1440,53220,0,187,1,2014
IXC,0,573,0,60809,0,190,1,2014
BLR,1684,8704,237549,861133,12187,7833,1,2014
SXR,0,982,0,116980,0,277,1,2014
IMF,0,444,0,50506,0,342,1,2014
RAJ,0,224,0,27546,0,8,1,2014
TRZ,680,282,90871,12049,440,0,1,2014
CJB,84,1134,11412,93254,69,484,1,2014
HYD,1412,6220,218153,506926,4012,3340,1,2014
LKO,271,1380,38775,141142,144,305,1,2014
IXE,412,744,43185,70693,12,22,1,2014
DIB,0,196,0,20911,0,24,1,2014
BOM,6260,16127,977599,1866477,37724,14844,1,2014
IDR,0,1216,0,98887,0,465,1,2014
PNQ,126,2494,14168,284539,0,1774,1,2014
DED,0,264,0,22832,0,0,1,2014
IXZ,0,788,0,78278,0,262,1,2014
UDR,0,540,0,42531,0,0,1,2014
IXL,0,180,0,18469,0,86,1,2014
BHO,0,596,0,35721,0,83,1,2014
GOI,608,2310,125529,312291,210,303,1,2014
BBI,0,817,0,111987,0,265,1,2014
DEL,7396,17002,1163763,1857580,32018,19480,1,2014
IXJ,0,772,0,64485,0,136,1,2014
CCU,1386,6635,162638,787509,3594,6519,1,2014
IXA,0,692,0,70104,0,330,1,2014
IXR,0,590,0,42236,0,241,1,2014
MAA,3025,7879,410418,714088,16190,5441,1,2014
VTZ,94,826,6752,79710,0,152,1,2014
IXU,0,350,0,37292,0,69,1,2014
TRV,1250,862,179109,90758,2077,136,1,2014
NAG,32,1028,4065,95491,46,493,1,2014
VNS,90,720,5698,65351,0,27,1,2014
GAY,92,78,6509,5583,0,0,1,2014
JAI,164,1712,22333,151966,19,618,1,2014
GAU,34,2146,1699,187006,1,962,1,2015
TIR,0,314,0,23327,0,6,1,2015
COK,2318,2267,368229,256561,3736,904,1,2015
RPR,0,696,0,81344,0,361,1,2015
JDH,0,266,0,26617,0,1,1,2015
PAT,0,772,0,83500,0,435,1,2015
IXB,36,706,2651,64329,0,13,1,2015
SXR,0,848,0,114194,0,346,1,2015
RAJ,0,312,0,36207,0,11,1,2015
TRZ,670,182,102526,10103,484,0,1,2015
CJB,83,1488,11690,90843,55,537,1,2015
BDQ,0,449,0,62076,0,197,1,2015
HYD,1682,6350,279107,691672,4094,3892,1,2015
ATQ,211,433,26619,58100,17,12,1,2015
DIB,0,362,0,28375,0,42,1,2015
BOM,6449,16516,1103871,2311493,38758,16305,1,2015
IDR,0,1154,0,122044,0,508,1,2015
PNQ,92,2884,10677,365115,0,2203,1,2015
